Time (s),Grid Row,Grid Column,Soil Level,Plant Level,Coins
6,1,0,0,0,0
6,1,1,0,0,0
6,1,2,1,3,0
6,1,3,0,0,0
6,1,4,0,0,0
6,1,5,0,0,0
6,2,0,0,0,0
6,2,1,0,0,0
6,2,2,0,0,0
6,2,3,0,0,0
6,2,4,0,0,0
6,2,5,0,0,0
7,0,0,0,0,0
7,0,1,1,4,0
7,0,2,0,0,0
7,0,3,0,0,0
7,0,4,0,0,0
7,0,5,0,0,0
7,1,0,0,0,0
7,1,1,0,0,0
7,1,2,1,4,0
7,1,3,0,0,0
7,1,4,0,0,0
7,1,5,0,0,0
7,2,0,0,0,0
7,2,1,0,0,0
7,2,2,0,0,0
7,2,3,0,0,0
7,2,4,0,0,0
7,2,5,0,0,0
8,0,0,0,0,0
8,0,1,1,5,0
8,0,2,0,0,0
8,0,3,0,0,0
8,0,4,0,0,0
8,0,5,0,0,0
8,1,0,0,0,0
8,1,1,0,0,0
8,1,2,1,4,0
8,1,3,0,0,0
8,1,4,0,0,0
8,1,5,0,0,0
8,2,0,0,0,0
8,2,1,0,0,0
8,2,2,0,0,0
8,2,3,0,0,0
8,2,4,0,0,0
8,2,5,0,0,0
9,0,0,0,0,50
9,0,1,1,0,50
9,0,2,0,0,50
9,0,3,1,2,50
9,0,4,0,0,50
9,0,5,0,0,50
9,1,0,0,0,50
9,1,1,0,0,50
9,1,2,1,0,50
9,1,3,0,0,50
9,1,4,0,0,50
9,1,5,0,0,50
9,2,0,0,0,50
9,2,1,0,0,50
9,2,2,0,0,50
9,2,3,0,0,50
9,2,4,0,0,50
9,2,5,0,0,50
10,0,0,0,0,0
10,0,1,1,0,0
10,0,2,0,0,0
10,0,3,1,2,0
10,0,4,0,0,0
10,0,5,0,0,0
10,1,0,0,0,0
10,1,1,0,0,0
10,1,2,1,0,0
10,1,3,0,0,0
10,1,4,0,0,0
10,1,5,0,0,0
10,2,0,0,0,0
10,2,1,0,0,0
10,2,2,1,2,0
10,2,3,0,0,0
10,2,4,0,0,0
10,2,5,0,0,0
11,0,0,0,0,0
11,0,1,1,2,0
11,0,2,0,0,0
11,0,3,1,3,0
11,0,4,0,0,0
11,0,5,0,0,0
11,1,0,0,0,0
11,1,1,0,0,0
11,1,2,1,0,0
11,1,3,0,0,0
11,1,4,0,0,0
11,1,5,0,0,0
11,2,0,0,0,0
11,2,1,0,0,0
11,2,2,1,2,0
11,2,3,0,0,0
11,2,4,0,0,0
11,2,5,0,0,0
12,0,0,0,0,0
12,0,1,1,2,0
12,0,2,0,0,0
12,0,3,1,3,0
12,0,4,0,0,0
12,0,5,0,0,0
12,1,0,0,0,0
12,1,1,0,0,0
12,1,2,1,0,0
12,1,3,0,0,0
12,1,4,0,0,0
12,1,5,0,0,0
12,2,0,0,0,0
12,2,1,0,0,0
12,2,2,1,3,0
12,2,3,0,0,0
12,2,4,0,0,0
12,2,5,0,0,0
13,0,0,0,0,0
13,0,1,1,3,0
13,0,2,0,0,0
13,0,3,1,4,0
13,0,4,0,0,0
13,0,5,0,0,0
13,1,0,0,0,0
13,1,1,0,0,0
13,1,2,1,0,0
13,1,3,0,0,0
13,1,4,0,0,0
13,1,5,0,0,0
13,2,0,0,0,0
13,2,1,0,0,0
13,2,2,1,3,0
13,2,3,0,0,0
13,2,4,0,0,0
13,2,5,0,0,0
14,0,0,0,0,0
14,0,1,1,3,0
14,0,2,0,0,0
14,0,3,1,4,0
14,0,4,0,0,0
14,0,5,0,0,0
14,1,0,0,0,0
14,1,1,0,0,0
14,1,2,1,2,0
14,1,3,0,0,0
14,1,4,0,0,0
14,1,5,0,0,0
14,2,0,0,0,0
14,2,1,0,0,0
14,2,2,1,4,0
14,2,3,0,0,0
14,2,4,0,0,0
14,2,5,0,0,0
15,0,0,0,0,0
15,0,1,1,4,0
15,0,2,0,0,0
15,0,3,1,5,0
15,0,4,0,0,0
15,0,5,0,0,0
15,1,0,0,0,0
15,1,1,0,0,0
15,1,2,1,2,0
15,1,3,0,0,0
15,1,4,0,0,0
15,1,5,0,0,0
15,2,0,0,0,0
15,2,1,0,0,0
15,2,2,1,4,0
15,2,3,0,0,0
15,2,4,0,0,0
15,2,5,0,0,0
16,0,0,0,0,0
16,0,1,1,4,0
16,0,2,0,0,0
16,0,3,1,0,0
16,0,4,1,2,0
16,0,5,0,0,0
16,1,0,0,0,0
16,1,1,0,0,0
16,1,2,1,3,0
16,1,3,0,0,0
16,1,4,0,0,0
16,1,5,0,0,0
16,2,0,0,0,0
16,2,1,0,0,0
16,2,2,1,0,0
16,2,3,1,2,0
16,2,4,0,0,0
16,2,5,0,0,0
17,0,0,0,0,50
17,0,1,1,0,50
17,0,2,0,0,50
17,0,3,1,2,50
17,0,4,1,2,50
17,0,5,0,0,50
17,1,0,0,0,50
17,1,1,0,0,50
17,1,2,1,3,50
17,1,3,0,0,50
17,1,4,0,0,50
17,1,5,0,0,50
17,2,0,0,0,50
17,2,1,0,0,50
17,2,2,1,0,50
17,2,3,1,2,50
17,2,4,0,0,50
17,2,5,0,0,50
18,0,0,0,0,25
18,0,1,1,0,25
18,0,2,0,0,25
18,0,3,1,2,25
18,0,4,1,3,25
18,0,5,0,0,25
18,1,0,0,0,25
18,1,1,0,0,25
18,1,2,2,4,25
18,1,3,0,0,25
18,1,4,0,0,25
18,1,5,0,0,25
18,2,0,0,0,25
18,2,1,0,0,25
18,2,2,1,0,25
18,2,3,1,3,25
18,2,4,0,0,25
18,2,5,0,0,25
19,0,0,0,0,0
19,0,1,1,0,0
19,0,2,0,0,0
19,0,3,1,3,0
19,0,4,1,3,0
19,0,5,0,0,0
19,1,0,0,0,0
19,1,1,0,0,0
19,1,2,2,4,0
19,1,3,0,0,0
19,1,4,0,0,0
19,1,5,0,0,0
19,2,0,0,0,0
19,2,1,0,0,0
19,2,2,1,0,0
19,2,3,2,3,0
19,2,4,0,0,0
19,2,5,0,0,0
20,0,0,1,2,0
20,0,1,1,0,0
20,0,2,0,0,0
20,0,3,1,3,0
20,0,4,1,4,0
20,0,5,0,0,0
20,1,0,0,0,0
20,1,1,0,0,0
20,1,2,2,0,0
20,1,3,0,0,0
20,1,4,0,0,0
20,1,5,0,0,0
20,2,0,0,0,0
20,2,1,0,0,0
20,2,2,1,0,0
20,2,3,2,4,0
20,2,4,0,0,0
20,2,5,0,0,0
21,0,0,1,2,0
21,0,1,1,0,0
21,0,2,0,0,0
21,0,3,1,4,0
21,0,4,1,4,0
21,0,5,0,0,0
21,1,0,0,0,0
21,1,1,0,0,0
21,1,2,2,0,0
21,1,3,0,0,0
21,1,4,0,0,0
21,1,5,0,0,0
21,2,0,0,0,0
21,2,1,0,0,0
21,2,2,1,0,0
21,2,3,2,4,0
21,2,4,0,0,0
21,2,5,0,0,0
22,0,0,1,3,50
22,0,1,1,0,50
22,0,2,0,0,50
22,0,3,1,4,50
22,0,4,1,5,50
22,0,5,0,0,50
22,1,0,0,0,50
22,1,1,0,0,50
22,1,2,2,0,50
22,1,3,0,0,50
22,1,4,0,0,50
22,1,5,0,0,50
22,2,0,0,0,50
22,2,1,0,0,50
22,2,2,1,0,50
22,2,3,2,0,50
22,2,4,0,0,50
22,2,5,0,0,50
23,0,0,1,3,100
23,0,1,1,0,100
23,0,2,0,0,100
23,0,3,1,0,100
23,0,4,1,0,100
23,0,5,0,0,100
23,1,0,0,0,100
23,1,1,0,0,100
23,1,2,2,0,100
23,1,3,0,0,100
23,1,4,0,0,100
23,1,5,0,0,100
23,2,0,0,0,100
23,2,1,0,0,100
23,2,2,1,0,100
23,2,3,2,0,100
23,2,4,0,0,100
23,2,5,1,2,100
24,0,0,1,4,25
24,0,1,1,0,25
24,0,2,0,0,25
24,0,3,1,0,25
24,0,4,1,0,25
24,0,5,0,0,25
24,1,0,0,0,25
24,1,1,0,0,25
24,1,2,2,0,25
24,1,3,0,0,25
24,1,4,0,0,25
24,1,5,0,0,25
24,2,0,0,0,25
24,2,1,0,0,25
24,2,2,1,0,25
24,2,3,2,0,25
24,2,4,1,2,25
24,2,5,2,2,25
25,0,0,1,4,0
25,0,1,1,0,0
25,0,2,0,0,0
25,0,3,1,0,0
25,0,4,1,0,0
25,0,5,0,0,0
25,1,0,0,0,0
25,1,1,0,0,0
25,1,2,2,0,0
25,1,3,0,0,0
25,1,4,0,0,0
25,1,5,0,0,0
25,2,0,0,0,0
25,2,1,0,0,0
25,2,2,2,2,0
25,2,3,2,0,0
25,2,4,1,2,0
25,2,5,2,3,0
26,0,0,1,0,50
26,0,1,1,0,50
26,0,2,0,0,50
26,0,3,1,0,50
26,0,4,1,0,50
26,0,5,0,0,50
26,1,0,0,0,50
26,1,1,0,0,50
26,1,2,2,0,50
26,1,3,0,0,50
26,1,4,0,0,50
26,1,5,0,0,50
26,2,0,0,0,50
26,2,1,0,0,50
26,2,2,2,2,50
26,2,3,2,0,50
26,2,4,1,3,50
26,2,5,2,3,50
27,0,0,1,0,0
27,0,1,1,0,0
27,0,2,0,0,0
27,0,3,1,0,0
27,0,4,1,0,0
27,0,5,0,0,0
27,1,0,0,0,0
27,1,1,0,0,0
27,1,2,2,0,0
27,1,3,1,2,0
27,1,4,0,0,0
27,1,5,0,0,0
27,2,0,0,0,0
27,2,1,0,0,0
27,2,2,2,3,0
27,2,3,2,2,0
27,2,4,1,3,0
27,2,5,2,4,0
28,0,0,1,0,0
28,0,1,1,0,0
28,0,2,0,0,0
28,0,3,1,0,0
28,0,4,1,0,0
28,0,5,0,0,0
28,1,0,0,0,0
28,1,1,0,0,0
28,1,2,2,0,0
28,1,3,1,2,0
28,1,4,0,0,0
28,1,5,0,0,0
28,2,0,0,0,0
28,2,1,0,0,0
28,2,2,2,3,0
28,2,3,2,2,0
28,2,4,1,4,0
28,2,5,2,4,0
29,0,0,1,0,25
29,0,1,2,2,25
29,0,2,0,0,25
29,0,3,1,0,25
29,0,4,1,0,25
29,0,5,0,0,25
29,1,0,0,0,25
29,1,1,0,0,25
29,1,2,2,0,25
29,1,3,1,3,25
29,1,4,0,0,25
29,1,5,0,0,25
29,2,0,0,0,25
29,2,1,0,0,25
29,2,2,2,4,25
29,2,3,2,3,25
29,2,4,1,4,25
29,2,5,2,0,25
30,0,0,1,0,15
30,0,1,3,2,15
30,0,2,0,0,15
30,0,3,1,0,15
30,0,4,1,0,15
30,0,5,0,0,15
30,1,0,0,0,15
30,1,1,0,0,15
30,1,2,2,0,15
30,1,3,1,3,15
30,1,4,0,0,15
30,1,5,0,0,15
30,2,0,0,0,15
30,2,1,0,0,15
30,2,2,2,4,15
30,2,3,2,3,15
30,2,4,1,0,15
30,2,5,2,0,15
31,0,0,1,0,40
31,0,1,3,3,40
31,0,2,0,0,40
31,0,3,1,0,40
31,0,4,1,0,40
31,0,5,0,0,40
31,1,0,0,0,40
31,1,1,0,0,40
31,1,2,2,0,40
31,1,3,1,4,40
31,1,4,0,0,40
31,1,5,0,0,40
31,2,0,0,0,40
31,2,1,0,0,40
31,2,2,2,0,40
31,2,3,2,4,40
31,2,4,2,2,40
31,2,5,2,0,40
32,0,0,1,0,40
32,0,1,3,3,40
32,0,2,0,0,40
32,0,3,1,0,40
32,0,4,1,0,40
32,0,5,0,0,40
32,1,0,0,0,40
32,1,1,0,0,40
32,1,2,2,0,40
32,1,3,1,4,40
32,1,4,0,0,40
32,1,5,0,0,40
32,2,0,0,0,40
32,2,1,0,0,40
32,2,2,2,2,40
32,2,3,2,4,40
32,2,4,2,2,40
32,2,5,2,0,40
33,0,0,1,0,140
33,0,1,3,4,140
33,0,2,0,0,140
33,0,3,1,0,140
33,0,4,1,0,140
33,0,5,0,0,140
33,1,0,0,0,140
33,1,1,0,0,140
33,1,2,2,0,140
33,1,3,1,0,140
33,1,4,0,0,140
33,1,5,0,0,140
33,2,0,0,0,140
33,2,1,0,0,140
33,2,2,2,2,140
33,2,3,2,0,140
33,2,4,2,3,140
33,2,5,2,0,140
34,0,0,1,0,40
34,0,1,3,5,40
34,0,2,0,0,40
34,0,3,1,0,40
34,0,4,1,0,40
34,0,5,0,0,40
34,1,0,1,2,40
34,1,1,1,2,40
34,1,2,2,0,40
34,1,3,1,0,40
34,1,4,0,0,40
34,1,5,0,0,40
34,2,0,0,0,40
34,2,1,0,0,40
34,2,2,2,3,40
34,2,3,2,0,40
34,2,4,2,3,40
34,2,5,2,0,40
35,0,0,1,0,40
35,0,1,3,0,40
35,0,2,0,0,40
35,0,3,1,0,40
35,0,4,1,0,40
35,0,5,0,0,40
35,1,0,1,2,40
35,1,1,1,2,40
35,1,2,2,0,40
35,1,3,1,0,40
35,1,4,1,2,40
35,1,5,0,0,40
35,2,0,0,0,40
35,2,1,0,0,40
35,2,2,2,3,40
35,2,3,2,0,40
35,2,4,2,4,40
35,2,5,2,0,40
36,0,0,1,0,40
36,0,1,3,0,40
36,0,2,0,0,40
36,0,3,1,0,40
36,0,4,1,0,40
36,0,5,0,0,40
36,1,0,1,3,40
36,1,1,1,3,40
36,1,2,2,0,40
36,1,3,1,0,40
36,1,4,1,2,40
36,1,5,0,0,40
36,2,0,0,0,40
36,2,1,0,0,40
36,2,2,2,4,40
36,2,3,2,0,40
36,2,4,2,4,40
36,2,5,2,0,40
37,0,0,1,0,65
37,0,1,3,0,65
37,0,2,0,0,65
37,0,3,2,2,65
37,0,4,1,2,65
37,0,5,0,0,65
37,1,0,1,3,65
37,1,1,1,3,65
37,1,2,2,0,65
37,1,3,1,0,65
37,1,4,1,3,65
37,1,5,0,0,65
37,2,0,0,0,65
37,2,1,0,0,65
37,2,2,2,5,65
37,2,3,2,0,65
37,2,4,2,0,65
37,2,5,2,0,65
38,0,0,1,0,5
38,0,1,3,0,5
38,0,2,0,0,5
38,0,3,2,2,5
38,0,4,1,2,5
38,0,5,1,2,5
38,1,0,1,4,5
38,1,1,1,4,5
38,1,2,2,0,5
38,1,3,1,0,5
38,1,4,1,3,5
38,1,5,0,0,5
38,2,0,0,0,5
38,2,1,0,0,5
38,2,2,3,2,5
38,2,3,2,0,5
38,2,4,2,0,5
38,2,5,2,0,5
39,0,0,1,0,5
39,0,1,3,2,5
39,0,2,0,0,5
39,0,3,2,3,5
39,0,4,1,3,5
39,0,5,1,2,5
39,1,0,1,4,5
39,1,1,1,4,5
39,1,2,2,0,5
39,1,3,1,0,5
39,1,4,1,4,5
39,1,5,0,0,5
39,2,0,0,0,5
39,2,1,0,0,5
39,2,2,3,2,5
39,2,3,2,0,5
39,2,4,2,0,5
39,2,5,2,0,5
40,0,0,1,0,80
40,0,1,3,2,80
40,0,2,0,0,80
40,0,3,2,4,80
40,0,4,1,3,80
40,0,5,2,3,80
40,1,0,1,0,80
40,1,1,1,0,80
40,1,2,2,0,80
40,1,3,1,2,80
40,1,4,1,4,80
40,1,5,0,0,80
40,2,0,0,0,80
40,2,1,0,0,80
40,2,2,3,3,80
40,2,3,2,0,80
40,2,4,2,0,80
40,2,5,2,0,80
41,0,0,1,0,55
41,0,1,3,3,55
41,0,2,0,0,55
41,0,3,2,4,55
41,0,4,1,4,55
41,0,5,2,3,55
41,1,0,1,0,55
41,1,1,1,0,55
41,1,2,2,0,55
41,1,3,1,2,55
41,1,4,2,0,55
41,1,5,0,0,55
41,2,0,1,2,55
41,2,1,0,0,55
41,2,2,3,3,55
41,2,3,2,0,55
41,2,4,2,0,55
41,2,5,2,0,55
42,0,0,1,0,105
42,0,1,3,3,105
42,0,2,0,0,105
42,0,3,2,0,105
42,0,4,1,4,105
42,0,5,2,4,105
42,1,0,1,0,105
42,1,1,1,0,105
42,1,2,2,0,105
42,1,3,1,3,105
42,1,4,2,0,105
42,1,5,0,0,105
42,2,0,1,2,105
42,2,1,0,0,105
42,2,2,3,4,105
42,2,3,2,2,105
42,2,4,2,0,105
42,2,5,2,0,105
43,0,0,1,0,70
43,0,1,3,4,70
43,0,2,0,0,70
43,0,3,2,0,70
43,0,4,1,0,70
43,0,5,2,4,70
43,1,0,1,0,70
43,1,1,1,0,70
43,1,2,2,0,70
43,1,3,2,4,70
43,1,4,2,0,70
43,1,5,0,0,70
43,2,0,1,3,70
43,2,1,0,0,70
43,2,2,3,5,70
43,2,3,3,2,70
43,2,4,2,0,70
43,2,5,2,0,70
44,0,0,1,0,20
44,0,1,3,4,20
44,0,2,0,0,20
44,0,3,2,0,20
44,0,4,1,0,20
44,0,5,2,0,20
44,1,0,1,0,20
44,1,1,2,2,20
44,1,2,2,0,20
44,1,3,2,4,20
44,1,4,2,0,20
44,1,5,0,0,20
44,2,0,1,3,20
44,2,1,0,0,20
44,2,2,4,2,20
44,2,3,3,3,20
44,2,4,2,0,20
44,2,5,2,0,20
45,0,0,1,0,95
45,0,1,3,0,95
45,0,2,0,0,95
45,0,3,2,0,95
45,0,4,1,0,95
45,0,5,2,0,95
45,1,0,2,2,95
45,1,1,2,2,95
45,1,2,2,0,95
45,1,3,2,0,95
45,1,4,2,0,95
45,1,5,0,0,95
45,2,0,1,4,95
45,2,1,0,0,95
45,2,2,4,2,95
45,2,3,3,4,95
45,2,4,2,0,95
45,2,5,2,0,95
46,0,0,1,0,35
46,0,1,3,2,35
46,0,2,0,0,35
46,0,3,2,0,35
46,0,4,1,0,35
46,0,5,2,0,35
46,1,0,2,2,35
46,1,1,2,3,35
46,1,2,3,2,35
46,1,3,2,0,35
46,1,4,2,0,35
46,1,5,0,0,35
46,2,0,1,4,35
46,2,1,0,0,35
46,2,2,4,3,35
46,2,3,3,4,35
46,2,4,2,0,35
46,2,5,2,0,35
47,0,0,1,0,85
47,0,1,3,2,85
47,0,2,0,0,85
47,0,3,2,0,85
47,0,4,1,0,85
47,0,5,2,0,85
47,1,0,2,3,85
47,1,1,2,3,85
47,1,2,3,2,85
47,1,3,2,0,85
47,1,4,2,0,85
47,1,5,0,0,85
47,2,0,1,0,85
47,2,1,0,0,85
47,2,2,4,4,85
47,2,3,3,5,85
47,2,4,2,0,85
47,2,5,2,0,85
48,0,0,1,0,15
48,0,1,3,3,15
48,0,2,0,0,15
48,0,3,2,0,15
48,0,4,1,0,15
48,0,5,3,2,15
48,1,0,3,3,15
48,1,1,2,4,15
48,1,2,3,3,15
48,1,3,2,0,15
48,1,4,2,0,15
48,1,5,0,0,15
48,2,0,1,0,15
48,2,1,0,0,15
48,2,2,4,4,15
48,2,3,3,0,15
48,2,4,2,0,15
48,2,5,2,0,15
49,0,0,1,0,65
49,0,1,3,3,65
49,0,2,0,0,65
49,0,3,2,0,65
49,0,4,1,0,65
49,0,5,3,2,65
49,1,0,3,4,65
49,1,1,2,4,65
49,1,2,3,4,65
49,1,3,2,2,65
49,1,4,2,0,65
49,1,5,0,0,65
49,2,0,1,0,65
49,2,1,0,0,65
49,2,2,4,0,65
49,2,3,3,0,65
49,2,4,2,0,65
49,2,5,2,0,65
50,0,0,2,2,90
50,0,1,3,4,90
50,0,2,0,0,90
50,0,3,2,0,90
50,0,4,1,0,90
50,0,5,3,3,90
50,1,0,3,4,90
50,1,1,2,0,90
50,1,2,3,4,90
50,1,3,2,2,90
50,1,4,2,0,90
50,1,5,0,0,90
50,2,0,1,0,90
50,2,1,0,0,90
50,2,2,4,0,90
50,2,3,3,0,90
50,2,4,2,2,90
50,2,5,2,0,90
51,0,0,2,2,80
51,0,1,3,5,80
51,0,2,0,0,80
51,0,3,2,0,80
51,0,4,1,0,80
51,0,5,3,3,80
51,1,0,3,0,80
51,1,1,2,0,80
51,1,2,3,5,80
51,1,3,2,3,80
51,1,4,2,0,80
51,1,5,0,0,80
51,2,0,1,0,80
51,2,1,0,0,80
51,2,2,4,0,80
51,2,3,3,0,80
51,2,4,2,2,80
51,2,5,3,2,80
52,0,0,2,3,30
52,0,1,3,0,30
52,0,2,0,0,30
52,0,3,2,0,30
52,0,4,2,2,30
52,0,5,3,4,30
52,1,0,3,0,30
52,1,1,2,0,30
52,1,2,3,0,30
52,1,3,2,3,30
52,1,4,2,0,30
52,1,5,0,0,30
52,2,0,1,0,30
52,2,1,0,0,30
52,2,2,4,0,30
52,2,3,3,0,30
52,2,4,2,3,30
52,2,5,4,3,30
53,0,0,2,3,30
53,0,1,3,0,30
53,0,2,0,0,30
53,0,3,2,0,30
53,0,4,2,2,30
53,0,5,3,5,30
53,1,0,3,0,30
53,1,1,2,2,30
53,1,2,3,0,30
53,1,3,2,4,30
53,1,4,2,0,30
53,1,5,0,0,30
53,2,0,1,0,30
53,2,1,0,0,30
53,2,2,4,0,30
53,2,3,3,0,30
53,2,4,2,3,30
53,2,5,4,3,30
54,0,0,3,4,20
54,0,1,3,0,20
54,0,2,0,0,20
54,0,3,2,0,20
54,0,4,2,3,20
54,0,5,3,0,20
54,1,0,3,0,20
54,1,1,2,2,20
54,1,2,3,0,20
54,1,3,2,4,20
54,1,4,2,0,20
54,1,5,0,0,20
54,2,0,1,0,20
54,2,1,0,0,20
54,2,2,4,2,20
54,2,3,3,0,20
54,2,4,2,4,20
54,2,5,4,4,20
55,0,0,3,5,20
55,0,1,3,0,20
55,0,2,0,0,20
55,0,3,2,2,20
55,0,4,2,3,20
55,0,5,3,0,20
55,1,0,3,0,20
55,1,1,2,3,20
55,1,2,3,0,20
55,1,3,2,0,20
55,1,4,2,0,20
55,1,5,0,0,20
55,2,0,1,0,20
55,2,1,1,2,20
55,2,2,4,2,20
55,2,3,3,0,20
55,2,4,2,4,20
55,2,5,4,4,20
56,0,0,3,0,120
56,0,1,3,0,120
56,0,2,0,0,120
56,0,3,2,2,120
56,0,4,2,4,120
56,0,5,3,0,120
56,1,0,3,0,120
56,1,1,2,4,120
56,1,2,3,0,120
56,1,3,2,0,120
56,1,4,2,0,120
56,1,5,0,0,120
56,2,0,1,0,120
56,2,1,1,2,120
56,2,2,4,3,120
56,2,3,3,0,120
56,2,4,2,0,120
56,2,5,4,5,120
57,0,0,3,0,45
57,0,1,3,0,45
57,0,2,0,0,45
57,0,3,2,3,45
57,0,4,2,4,45
57,0,5,4,2,45
57,1,0,3,0,45
57,1,1,2,4,45
57,1,2,3,0,45
57,1,3,2,0,45
57,1,4,2,2,45
57,1,5,0,0,45
57,2,0,1,0,45
57,2,1,1,3,45
57,2,2,4,3,45
57,2,3,3,0,45
57,2,4,2,0,45
57,2,5,4,0,45
58,0,0,3,2,95
58,0,1,3,0,95
58,0,2,0,0,95
58,0,3,2,3,95
58,0,4,2,0,95
58,0,5,4,3,95
58,1,0,3,0,95
58,1,1,2,5,95
58,1,2,3,0,95
58,1,3,2,0,95
58,1,4,2,2,95
58,1,5,0,0,95
58,2,0,1,0,95
58,2,1,1,3,95
58,2,2,4,4,95
58,2,3,3,0,95
58,2,4,2,0,95
58,2,5,4,0,95
59,0,0,3,3,135
59,0,1,3,0,135
59,0,2,0,0,135
59,0,3,2,4,135
59,0,4,3,2,135
59,0,5,4,3,135
59,1,0,3,0,135
59,1,1,2,0,135
59,1,2,3,0,135
59,1,3,2,0,135
59,1,4,2,3,135
59,1,5,0,0,135
59,2,0,1,0,135
59,2,1,1,4,135
59,2,2,4,0,135
59,2,3,3,0,135
59,2,4,2,0,135
59,2,5,4,0,135
60,0,0,3,3,25
60,0,1,3,0,25
60,0,2,0,0,25
60,0,3,2,4,25
60,0,4,3,2,25
60,0,5,4,4,25
60,1,0,3,0,25
60,1,1,3,2,25
60,1,2,3,0,25
60,1,3,2,0,25
60,1,4,2,3,25
60,1,5,0,0,25
60,2,0,2,2,25
60,2,1,2,4,25
60,2,2,4,0,25
60,2,3,3,0,25
60,2,4,2,0,25
60,2,5,4,2,25
